Amazon_Quarter,Amazon_Revenue
Q1-10,7131
Q2-10,6566
Q3-10,7560
Q4-10,12947
Q1-11,9857
Q2-11,9913
Q3-11,10876
Q4-11,17431
Q1-12,13185
Q2-12,12834
Q3-12,13806
Q4-12,21268
Q1-13,16070
Q2-13,15704
Q3-13,17092
Q4-13,25586
Q1-14,19741
Q2-14,19340
Q3-14,20579
Q4-14,29328
Q1-15,22717
Q2-15,23185
Q3-15,25358
Q4-15,35746
Q1-16,29128
Q2-16,30404
Q3-16,32714
Q4-16,43741
Q1-17,35714
Q2-17,37955
Q3-17,43744
Q4-17,60453
Q1-18,51042
Q2-18,52886
Q3-18,56576
Q4-18,72383
Q1-19,59700
Q2-19,63404
Q3-19,69981
Q4-19,87437
Q1-20,75452
Q2-20,88912
Q3-20,96145
Q4-20,125555
Q1-21,108518
Q2-21,113080
Q3-21,110812
Q4-21,137412
Q1-22,116444
Q2-22,121234
Q3-22,127101
Q4-22,149204
Q1-23,127358
Q2-23,134383
Q3-23,143083
Q4-23,169961
