Meta_Quarter,Meta_Revenue
Q1-10,345
Q2-10,431
Q3-10,467
Q4-10,731
Q1-11,731
Q2-11,895
Q3-11,954
Q4-11,1131
Q1-12,1058
Q2-12,1184
Q3-12,1262
Q4-12,1585
Q1-13,1458
Q2-13,1813
Q3-13,2016
Q4-13,2585
Q1-14,2502
Q2-14,2910
Q3-14,3203
Q4-14,3851
Q1-15,3543
Q2-15,4042
Q3-15,4501
Q4-15,5842
Q1-16,5382
Q2-16,6436
Q3-16,7011
Q4-16,8809
Q1-17,8032
Q2-17,9321
Q3-17,10328
Q4-17,12972
Q1-18,11966
Q2-18,13231
Q3-18,13727
Q4-18,16914
Q1-19,15077
Q2-19,16886
Q3-19,17652
Q4-19,21082
Q1-20,17737
Q2-20,18687
Q3-20,21470
Q4-20,28071
Q1-21,26171
Q2-21,29077
Q3-21,29010
Q4-21,33671
Q1-22,27908
Q2-22,28822
Q3-22,27714
Q4-22,32165
Q1-23,28645
Q2-23,31999
Q3-23,34146
Q4-23,40112
